Name	Fraction	Experiment
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_20_02	20	H2
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_21_02	21	H2
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_22_02	22	H2
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_20_01	20	H1
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_21_01	21	H1
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_22_01	22	H1
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_23_03	23	L3
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_23_02	23	L2
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_23_01	23	L1
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_01	24	L1
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_02	24	L2
20071003_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_03	24	L3
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_23_03	23	H3
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_24_03	24	H3
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_23_02	23	H2
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_24_02	24	H2
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_23_01	23	H1
20071004_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_24_01	24	H1
